id,name,definition,global_business_function,process_level_indicator,level_1_name,level_2_name,level_3_name
payment_processing,Payment Processing,Processing of payment transactions and settlements,Financial Operations,L2,Financial Operations,Payment Processing,
credit_assessment,Credit Assessment,Evaluation of creditworthiness and lending risk,Financial Operations,L2,Financial Operations,Credit Assessment,
loan_origination,Loan Origination,Processing and approval of loan applications,Financial Operations,L2,Financial Operations,Loan Origination,
account_management,Account Management,Management of customer financial accounts,Financial Operations,L2,Financial Operations,Account Management,
treasury_operations,Treasury Operations,Treasury and liquidity management activities,Financial Operations,L2,Financial Operations,Treasury Operations,
trade_settlement,Trade Settlement,Settlement of securities and derivatives trades,Financial Operations,L2,Financial Operations,Trade Settlement,
risk_assessment,Risk Assessment,Assessment and quantification of business risks,Financial Operations,L2,Financial Operations,Risk Assessment,
fraud_detection,Fraud Detection,Detection and investigation of fraudulent activities,Financial Operations,L2,Financial Operations,Fraud Detection,
anti_money_laundering,Anti-Money Laundering,AML screening monitoring and suspicious activity reporting,Financial Operations,L2,Financial Operations,Anti-Money Laundering,
regulatory_reporting,Regulatory Reporting,Preparation and submission of regulatory reports,Financial Operations,L2,Financial Operations,Regulatory Reporting,
tax_calculation,Tax Calculation,Calculation and processing of tax obligations,Financial Operations,L2,Financial Operations,Tax Calculation,
invoice_processing,Invoice Processing,Processing and management of invoices and billing,Financial Operations,L2,Financial Operations,Invoice Processing,
recruitment,Recruitment,Recruitment and hiring of new employees,Human Resources,L2,Human Resources,Recruitment,
onboarding,Onboarding,Employee onboarding and induction processes,Human Resources,L2,Human Resources,Onboarding,
payroll_processing,Payroll Processing,Processing of employee payroll and deductions,Human Resources,L2,Human Resources,Payroll Processing,
performance_management,Performance Management,Employee performance evaluation and management,Human Resources,L2,Human Resources,Performance Management,
benefits_administration,Benefits Administration,Administration of employee benefits programs,Human Resources,L2,Human Resources,Benefits Administration,
employee_relations,Employee Relations,Management of employee relations and workplace issues,Human Resources,L2,Human Resources,Employee Relations,
talent_acquisition,Talent Acquisition,Strategic talent sourcing and acquisition,Human Resources,L2,Human Resources,Talent Acquisition,
workforce_planning,Workforce Planning,Strategic workforce planning and resource allocation,Human Resources,L2,Human Resources,Workforce Planning,
compensation_management,Compensation Management,Management of compensation structures and policies,Human Resources,L2,Human Resources,Compensation Management,
training_and_development,Training and Development,Employee training programs and professional development,Human Resources,L2,Human Resources,Training and Development,
customer_onboarding,Customer Onboarding,Onboarding of new customers and account setup,Customer Management,L2,Customer Management,Customer Onboarding,
kyc_verification,KYC Verification,Know Your Customer identity verification,Customer Management,L2,Customer Management,KYC Verification,
account_opening,Account Opening,Processing of new account applications,Customer Management,L2,Customer Management,Account Opening,
customer_service,Customer Service,Customer support and service delivery,Customer Management,L2,Customer Management,Customer Service,
complaint_handling,Complaint Handling,Processing and resolution of customer complaints,Customer Management,L2,Customer Management,Complaint Handling,
relationship_management,Relationship Management,Customer relationship management activities,Customer Management,L2,Customer Management,Relationship Management,
customer_analytics,Customer Analytics,Analysis of customer data and behavior,Customer Management,L2,Customer Management,Customer Analytics,
loyalty_management,Loyalty Management,Management of customer loyalty programs,Customer Management,L2,Customer Management,Loyalty Management,
cross_selling,Cross-selling,Cross-selling of products and services,Customer Management,L2,Customer Management,Cross-selling,
customer_communication,Customer Communication,Customer communications and notifications,Customer Management,L2,Customer Management,Customer Communication,
data_migration,Data Migration,Migration of data between systems and platforms,Technology Operations,L2,Technology Operations,Data Migration,
system_integration,System Integration,Integration of IT systems and applications,Technology Operations,L2,Technology Operations,System Integration,
cloud_hosting,Cloud Hosting,Cloud infrastructure hosting and management,Technology Operations,L2,Technology Operations,Cloud Hosting,
disaster_recovery,Disaster Recovery,IT disaster recovery and business continuity,Technology Operations,L2,Technology Operations,Disaster Recovery,
security_monitoring,Security Monitoring,Cybersecurity monitoring and threat detection,Technology Operations,L2,Technology Operations,Security Monitoring,
access_management,Access Management,Identity and access management systems,Technology Operations,L2,Technology Operations,Access Management,
software_development,Software Development,Development and maintenance of software applications,Technology Operations,L2,Technology Operations,Software Development,
testing,Testing,Quality assurance and software testing,Technology Operations,L2,Technology Operations,Testing,
deployment,Deployment,Software deployment and release management,Technology Operations,L2,Technology Operations,Deployment,
incident_management,Incident Management,IT incident detection response and resolution,Technology Operations,L2,Technology Operations,Incident Management,
privacy_impact_assessment,Privacy Impact Assessment,Assessment of privacy risks and data protection impacts,Compliance and Legal,L2,Compliance and Legal,Privacy Impact Assessment,
regulatory_compliance,Regulatory Compliance,Monitoring and ensuring regulatory compliance,Compliance and Legal,L2,Compliance and Legal,Regulatory Compliance,
audit_management,Audit Management,Planning and execution of internal and external audits,Compliance and Legal,L2,Compliance and Legal,Audit Management,
contract_management,Contract Management,Management of legal contracts and agreements,Compliance and Legal,L2,Compliance and Legal,Contract Management,
legal_review,Legal Review,Legal review and advisory services,Compliance and Legal,L2,Compliance and Legal,Legal Review,
data_subject_requests,Data Subject Requests,Processing of data subject rights requests,Compliance and Legal,L2,Compliance and Legal,Data Subject Requests,
consent_management,Consent Management,Management of data processing consents,Compliance and Legal,L2,Compliance and Legal,Consent Management,
breach_notification,Breach Notification,Data breach detection notification and reporting,Compliance and Legal,L2,Compliance and Legal,Breach Notification,
policy_management,Policy Management,Development and management of compliance policies,Compliance and Legal,L2,Compliance and Legal,Policy Management,
third_party_due_diligence,Third Party Due Diligence,Due diligence on third party vendors and partners,Compliance and Legal,L2,Compliance and Legal,Third Party Due Diligence,
